season,year,month,hour,holiday,weekday,workingday,weather,temp,feel_temp,humidity,windspeed,casual,registered,count
spring,0.0,1.0,13.0,False,0.0,False,misty,14.76,17.424999999999997,0.66,8.9981,11.0,64.0,75.0
spring,0.0,1.0,14.0,False,0.0,False,rain,14.76,17.424999999999997,0.76,12.998,4.0,55.0,59.0
spring,0.0,1.0,15.0,False,0.0,False,rain,13.940000000000001,16.665,0.81,11.0014,19.0,55.0,74.0
spring,0.0,1.0,16.0,False,0.0,False,rain,13.940000000000001,16.665,0.71,11.0014,9.0,67.0,76.0
spring,0.0,1.0,17.0,False,0.0,False,clear,13.940000000000001,16.665,0.57,12.998,7.0,58.0,65.0
spring,0.0,1.0,18.0,False,0.0,False,misty,14.76,16.665,0.46,22.0028,10.0,43.0,53.0
spring,0.0,1.0,19.0,False,0.0,False,clear,13.120000000000001,14.395,0.42,30.002599999999997,1.0,29.0,30.0
spring,0.0,1.0,20.0,False,0.0,False,clear,12.299999999999999,13.635,0.39,23.9994,5.0,17.0,22.0
spring,0.0,1.0,21.0,False,0.0,False,clear,10.66,11.365,0.44,22.0028,11.0,20.0,31.0
spring,0.0,1.0,22.0,False,0.0,False,clear,9.84,10.605,0.44,19.999499999999998,0.0,9.0,9.0
spring,0.0,1.0,23.0,False,0.0,False,clear,9.02,11.365,0.47,11.0014,0.0,8.0,8.0
spring,0.0,1.0,0.0,False,1.0,True,clear,9.02,9.85,0.44,23.9994,0.0,5.0,5.0
spring,0.0,1.0,1.0,False,1.0,True,clear,8.200000000000001,8.334999999999999,0.44,27.999299999999998,0.0,2.0,2.0
spring,0.0,1.0,4.0,False,1.0,True,clear,6.5600000000000005,6.819999999999999,0.47,26.0027,0.0,1.0,1.0
spring,0.0,1.0,5.0,False,1.0,True,clear,6.5600000000000005,6.819999999999999,0.47,19.0012,0.0,3.0,3.0
spring,0.0,1.0,6.0,False,1.0,True,clear,5.74,5.305,0.5,26.0027,0.0,30.0,30.0
spring,0.0,1.0,7.0,False,1.0,True,clear,5.74,6.819999999999999,0.5,12.998,1.0,63.0,64.0
spring,0.0,1.0,8.0,False,1.0,True,clear,5.74,6.0600000000000005,0.5,19.0012,1.0,153.0,154.0
spring,0.0,1.0,9.0,False,1.0,True,clear,6.5600000000000005,6.819999999999999,0.43,26.0027,7.0,81.0,88.0
spring,0.0,1.0,10.0,False,1.0,True,clear,7.38,8.334999999999999,0.43,16.997899999999998,11.0,33.0,44.0
spring,0.0,1.0,11.0,False,1.0,True,clear,8.200000000000001,9.09,0.4,22.0028,10.0,41.0,51.0
spring,0.0,1.0,12.0,False,1.0,True,clear,9.02,10.605,0.35,19.999499999999998,13.0,48.0,61.0
spring,0.0,1.0,13.0,False,1.0,True,clear,9.84,10.605,0.35,19.0012,8.0,53.0,61.0
spring,0.0,1.0,14.0,False,1.0,True,clear,10.66,12.120000000000001,0.3,19.0012,11.0,66.0,77.0
spring,0.0,1.0,15.0,False,1.0,True,clear,10.66,12.120000000000001,0.3,16.997899999999998,14.0,58.0,72.0
spring,0.0,1.0,16.0,False,1.0,True,clear,10.66,12.120000000000001,0.3,16.997899999999998,9.0,67.0,76.0
spring,0.0,1.0,17.0,False,1.0,True,clear,9.84,11.365,0.3,15.001299999999999,11.0,146.0,157.0
spring,0.0,1.0,18.0,False,1.0,True,clear,9.84,12.879999999999999,0.32,7.0015,9.0,148.0,157.0
spring,0.0,1.0,19.0,False,1.0,True,clear,8.200000000000001,12.879999999999999,0.47,0.0,8.0,102.0,110.0
spring,0.0,1.0,20.0,False,1.0,True,clear,8.200000000000001,11.365,0.47,7.0015,3.0,49.0,52.0
spring,0.0,1.0,21.0,False,1.0,True,clear,7.38,9.85,0.64,8.9981,3.0,49.0,52.0
spring,0.0,1.0,22.0,False,1.0,True,clear,5.74,7.575,0.69,8.9981,0.0,20.0,20.0
spring,0.0,1.0,23.0,False,1.0,True,clear,7.38,10.605,0.55,7.0015,1.0,11.0,12.0
spring,0.0,1.0,0.0,False,2.0,True,clear,6.5600000000000005,9.09,0.55,7.0015,0.0,5.0,5.0
spring,0.0,1.0,1.0,False,2.0,True,clear,6.5600000000000005,9.09,0.59,7.0015,0.0,2.0,2.0
spring,0.0,1.0,2.0,False,2.0,True,clear,5.74,7.575,0.63,8.9981,0.0,1.0,1.0
spring,0.0,1.0,4.0,False,2.0,True,clear,5.74,9.09,0.63,6.0032,0.0,2.0,2.0
spring,0.0,1.0,5.0,False,2.0,True,clear,4.92,7.575,0.68,7.0015,0.0,4.0,4.0
spring,0.0,1.0,6.0,False,2.0,True,clear,4.92,7.575,0.74,7.0015,0.0,36.0,36.0
spring,0.0,1.0,7.0,False,2.0,True,clear,4.92,7.575,0.74,8.9981,2.0,92.0,94.0
spring,0.0,1.0,8.0,False,2.0,True,clear,5.74,7.575,0.69,11.0014,2.0,177.0,179.0
spring,0.0,1.0,9.0,False,2.0,True,clear,6.5600000000000005,7.575,0.64,15.001299999999999,2.0,98.0,100.0
spring,0.0,1.0,10.0,False,2.0,True,misty,6.5600000000000005,6.819999999999999,0.69,22.0028,5.0,37.0,42.0
spring,0.0,1.0,11.0,False,2.0,True,clear,9.02,10.605,0.51,19.999499999999998,7.0,50.0,57.0
spring,0.0,1.0,12.0,False,2.0,True,clear,9.02,11.365,0.51,11.0014,12.0,66.0,78.0
spring,0.0,1.0,13.0,False,2.0,True,clear,9.84,11.365,0.56,12.998,18.0,79.0,97.0
spring,0.0,1.0,14.0,False,2.0,True,clear,10.66,12.879999999999999,0.52,15.001299999999999,9.0,54.0,63.0
spring,0.0,1.0,15.0,False,2.0,True,clear,11.48,13.635,0.52,16.997899999999998,17.0,48.0,65.0
spring,0.0,1.0,16.0,False,2.0,True,clear,12.299999999999999,14.395,0.49,16.997899999999998,15.0,68.0,83.0
spring,0.0,1.0,17.0,False,2.0,True,clear,11.48,13.635,0.48,15.001299999999999,10.0,202.0,212.0
spring,0.0,1.0,18.0,False,2.0,True,clear,10.66,12.879999999999999,0.48,12.998,3.0,179.0,182.0
spring,0.0,1.0,19.0,False,2.0,True,clear,9.84,12.879999999999999,0.48,7.0015,2.0,110.0,112.0
spring,0.0,1.0,20.0,False,2.0,True,clear,9.84,12.879999999999999,0.48,7.0015,1.0,53.0,54.0
spring,0.0,1.0,21.0,False,2.0,True,clear,9.02,13.635,0.64,0.0,0.0,48.0,48.0
spring,0.0,1.0,22.0,False,2.0,True,clear,9.02,12.879999999999999,0.64,6.0032,1.0,34.0,35.0
spring,0.0,1.0,23.0,False,2.0,True,clear,8.200000000000001,11.365,0.69,6.0032,2.0,9.0,11.0
spring,0.0,1.0,0.0,False,3.0,True,clear,8.200000000000001,12.879999999999999,0.64,0.0,0.0,6.0,6.0
spring,0.0,1.0,1.0,False,3.0,True,clear,6.5600000000000005,9.85,0.74,6.0032,0.0,6.0,6.0
spring,0.0,1.0,2.0,False,3.0,True,clear,6.5600000000000005,9.85,0.74,6.0032,0.0,2.0,2.0
spring,0.0,1.0,4.0,False,3.0,True,clear,9.84,11.365,0.48,15.001299999999999,0.0,2.0,2.0
spring,0.0,1.0,5.0,False,3.0,True,clear,9.02,11.365,0.47,11.0014,0.0,3.0,3.0
spring,0.0,1.0,6.0,False,3.0,True,clear,8.200000000000001,9.85,0.47,15.001299999999999,0.0,33.0,33.0
spring,0.0,1.0,7.0,False,3.0,True,clear,7.38,9.09,0.43,12.998,1.0,87.0,88.0
spring,0.0,1.0,8.0,False,3.0,True,clear,8.200000000000001,9.09,0.4,19.999499999999998,3.0,192.0,195.0
spring,0.0,1.0,9.0,False,3.0,True,clear,9.02,9.85,0.37,22.0028,6.0,109.0,115.0
spring,0.0,1.0,10.0,False,3.0,True,clear,9.02,9.85,0.37,22.0028,4.0,53.0,57.0
spring,0.0,1.0,11.0,False,3.0,True,clear,10.66,11.365,0.33,22.0028,12.0,34.0,46.0
spring,0.0,1.0,12.0,False,3.0,True,clear,10.66,11.365,0.33,22.0028,5.0,74.0,79.0
spring,0.0,1.0,13.0,False,3.0,True,clear,11.48,12.879999999999999,0.3,19.999499999999998,6.0,65.0,71.0
spring,0.0,1.0,14.0,False,3.0,True,clear,12.299999999999999,14.395,0.28,12.998,10.0,52.0,62.0
spring,0.0,1.0,15.0,False,3.0,True,clear,12.299999999999999,14.395,0.28,12.998,7.0,55.0,62.0
spring,0.0,1.0,16.0,False,3.0,True,clear,12.299999999999999,15.909999999999998,0.28,6.0032,4.0,85.0,89.0
spring,0.0,1.0,17.0,False,3.0,True,clear,9.84,11.365,0.38,12.998,4.0,186.0,190.0
spring,0.0,1.0,18.0,False,3.0,True,clear,9.84,12.120000000000001,0.38,8.9981,3.0,166.0,169.0
spring,0.0,1.0,19.0,False,3.0,True,clear,9.84,12.879999999999999,0.38,7.0015,5.0,127.0,132.0
spring,0.0,1.0,20.0,False,3.0,True,clear,9.02,11.365,0.47,11.0014,7.0,82.0,89.0
spring,0.0,1.0,21.0,False,3.0,True,clear,8.200000000000001,9.85,0.51,12.998,3.0,40.0,43.0
spring,0.0,1.0,22.0,False,3.0,True,clear,7.38,9.85,0.55,8.9981,1.0,41.0,42.0
spring,0.0,1.0,23.0,False,3.0,True,clear,8.200000000000001,12.879999999999999,0.47,0.0,1.0,18.0,19.0
spring,0.0,1.0,0.0,False,4.0,True,clear,7.38,12.120000000000001,0.55,0.0,0.0,11.0,11.0
spring,0.0,1.0,1.0,False,4.0,True,clear,6.5600000000000005,11.365,0.64,0.0,0.0,4.0,4.0
spring,0.0,1.0,2.0,False,4.0,True,clear,6.5600000000000005,11.365,0.64,0.0,0.0,2.0,2.0
spring,0.0,1.0,4.0,False,4.0,True,misty,6.5600000000000005,9.85,0.64,6.0032,0.0,1.0,1.0
spring,0.0,1.0,5.0,False,4.0,True,misty,5.74,9.09,0.69,6.0032,0.0,4.0,4.0
spring,0.0,1.0,6.0,False,4.0,True,misty,5.74,8.334999999999999,0.63,7.0015,0.0,36.0,36.0
spring,0.0,1.0,7.0,False,4.0,True,misty,6.5600000000000005,11.365,0.59,0.0,0.0,95.0,95.0
spring,0.0,1.0,8.0,False,4.0,True,clear,6.5600000000000005,11.365,0.59,0.0,3.0,216.0,219.0
spring,0.0,1.0,9.0,False,4.0,True,misty,7.38,12.120000000000001,0.51,0.0,6.0,116.0,122.0
spring,0.0,1.0,10.0,False,4.0,True,clear,8.200000000000001,12.879999999999999,0.47,0.0,3.0,42.0,45.0
spring,0.0,1.0,11.0,False,4.0,True,clear,9.02,12.879999999999999,0.44,6.0032,2.0,57.0,59.0
spring,0.0,1.0,12.0,False,4.0,True,clear,10.66,14.395,0.35,0.0,6.0,78.0,84.0
spring,0.0,1.0,13.0,False,4.0,True,clear,10.66,13.635,0.35,7.0015,12.0,55.0,67.0
spring,0.0,1.0,14.0,False,4.0,True,clear,11.48,13.635,0.36,11.0014,11.0,59.0,70.0
spring,0.0,1.0,15.0,False,4.0,True,clear,11.48,13.635,0.36,0.0,8.0,54.0,62.0
spring,0.0,1.0,16.0,False,4.0,True,clear,10.66,12.879999999999999,0.38,11.0014,12.0,74.0,86.0
spring,0.0,1.0,17.0,False,4.0,True,clear,9.02,11.365,0.51,11.0014,9.0,163.0,172.0
spring,0.0,1.0,18.0,False,4.0,True,clear,9.02,11.365,0.51,8.9981,5.0,158.0,163.0
spring,0.0,1.0,19.0,False,4.0,True,clear,9.02,12.879999999999999,0.55,6.0032,3.0,109.0,112.0
spring,0.0,1.0,20.0,False,4.0,True,clear,8.200000000000001,10.605,0.51,11.0014,3.0,66.0,69.0
spring,0.0,1.0,21.0,False,4.0,True,misty,9.02,10.605,0.55,15.001299999999999,0.0,48.0,48.0
spring,0.0,1.0,22.0,False,4.0,True,misty,9.02,10.605,0.51,19.0012,1.0,51.0,52.0
spring,0.0,1.0,23.0,False,4.0,True,misty,8.200000000000001,9.85,0.59,12.998,4.0,19.0,23.0
spring,0.0,1.0,0.0,False,5.0,True,misty,8.200000000000001,9.85,0.64,12.998,4.0,13.0,17.0
spring,0.0,1.0,1.0,False,5.0,True,misty,8.200000000000001,9.85,0.69,15.001299999999999,2.0,5.0,7.0
spring,0.0,1.0,2.0,False,5.0,True,misty,8.200000000000001,9.85,0.69,15.001299999999999,0.0,1.0,1.0
spring,0.0,1.0,4.0,False,5.0,True,misty,8.200000000000001,10.605,0.69,8.9981,0.0,1.0,1.0
spring,0.0,1.0,5.0,False,5.0,True,rain,9.02,13.635,0.55,0.0,0.0,5.0,5.0
spring,0.0,1.0,6.0,False,5.0,True,misty,8.200000000000001,12.879999999999999,0.69,0.0,8.0,26.0,34.0
spring,0.0,1.0,7.0,False,5.0,True,clear,8.200000000000001,10.605,0.69,8.9981,8.0,76.0,84.0
spring,0.0,1.0,8.0,False,5.0,True,clear,8.200000000000001,9.85,0.51,16.997899999999998,20.0,190.0,210.0
spring,0.0,1.0,9.0,False,5.0,True,clear,8.200000000000001,9.09,0.47,19.999499999999998,9.0,125.0,134.0
spring,0.0,1.0,10.0,False,5.0,True,clear,9.02,9.85,0.37,22.0028,16.0,47.0,63.0
spring,0.0,1.0,11.0,False,5.0,True,misty,8.200000000000001,9.85,0.4,15.001299999999999,19.0,48.0,67.0
spring,0.0,1.0,12.0,False,5.0,True,misty,8.200000000000001,9.85,0.37,16.997899999999998,9.0,50.0,59.0
spring,0.0,1.0,13.0,False,5.0,True,misty,8.200000000000001,9.09,0.37,19.0012,9.0,64.0,73.0
spring,0.0,1.0,14.0,False,5.0,True,misty,8.200000000000001,9.85,0.4,16.997899999999998,7.0,43.0,50.0
spring,0.0,1.0,15.0,False,5.0,True,misty,8.200000000000001,10.605,0.37,11.0014,9.0,63.0,72.0
spring,0.0,1.0,16.0,False,5.0,True,misty,8.200000000000001,10.605,0.37,11.0014,5.0,82.0,87.0
spring,0.0,1.0,17.0,False,5.0,True,misty,8.200000000000001,12.879999999999999,0.37,0.0,9.0,178.0,187.0
spring,0.0,1.0,18.0,False,5.0,True,clear,8.200000000000001,11.365,0.4,6.0032,7.0,116.0,123.0
spring,0.0,1.0,19.0,False,5.0,True,clear,6.5600000000000005,9.85,0.55,6.0032,3.0,92.0,95.0
spring,0.0,1.0,20.0,False,5.0,True,clear,7.38,10.605,0.47,7.0015,1.0,50.0,51.0
spring,0.0,1.0,21.0,False,5.0,True,clear,7.38,9.85,0.47,8.9981,0.0,39.0,39.0
spring,0.0,1.0,22.0,False,5.0,True,misty,7.38,9.85,0.43,11.0014,2.0,34.0,36.0
spring,0.0,1.0,23.0,False,5.0,True,misty,7.38,9.85,0.51,11.0014,1.0,14.0,15.0
spring,0.0,1.0,0.0,False,6.0,False,misty,7.38,9.85,0.51,11.0014,1.0,24.0,25.0
spring,0.0,1.0,1.0,False,6.0,False,misty,7.38,10.605,0.55,6.0032,1.0,15.0,16.0
spring,0.0,1.0,2.0,False,6.0,False,misty,7.38,12.120000000000001,0.55,0.0,3.0,13.0,16.0
spring,0.0,1.0,3.0,False,6.0,False,rain,7.38,9.85,0.55,11.0014,0.0,7.0,7.0
spring,0.0,1.0,4.0,False,6.0,False,rain,7.38,9.85,0.55,11.0014,0.0,1.0,1.0
spring,0.0,1.0,5.0,False,6.0,False,misty,6.5600000000000005,8.334999999999999,0.74,11.0014,0.0,5.0,5.0
spring,0.0,1.0,6.0,False,6.0,False,misty,6.5600000000000005,8.334999999999999,0.74,11.0014,0.0,2.0,2.0
spring,0.0,1.0,7.0,False,6.0,False,misty,6.5600000000000005,9.09,0.74,7.0015,1.0,8.0,9.0
spring,0.0,1.0,8.0,False,6.0,False,rain,6.5600000000000005,9.09,0.93,7.0015,0.0,15.0,15.0
spring,0.0,1.0,9.0,False,6.0,False,rain,6.5600000000000005,9.09,0.93,7.0015,0.0,20.0,20.0
spring,0.0,1.0,10.0,False,6.0,False,misty,7.38,9.85,0.8,11.0014,5.0,56.0,61.0
spring,0.0,1.0,11.0,False,6.0,False,misty,8.200000000000001,9.09,0.69,26.0027,2.0,60.0,62.0
spring,0.0,1.0,12.0,False,6.0,False,misty,8.200000000000001,9.09,0.59,23.9994,8.0,90.0,98.0
spring,0.0,1.0,13.0,False,6.0,False,clear,8.200000000000001,9.09,0.44,22.0028,7.0,95.0,102.0
spring,0.0,1.0,14.0,False,6.0,False,clear,8.200000000000001,8.334999999999999,0.32,32.9975,12.0,83.0,95.0
spring,0.0,1.0,15.0,False,6.0,False,clear,8.200000000000001,8.334999999999999,0.32,30.002599999999997,5.0,69.0,74.0
spring,0.0,1.0,16.0,False,6.0,False,clear,7.38,6.819999999999999,0.29,30.002599999999997,8.0,68.0,76.0
spring,0.0,1.0,17.0,False,6.0,False,clear,6.5600000000000005,6.0600000000000005,0.37,36.9974,5.0,64.0,69.0
spring,0.0,1.0,18.0,False,6.0,False,clear,5.74,6.0600000000000005,0.39,19.999499999999998,3.0,52.0,55.0
spring,0.0,1.0,19.0,False,6.0,False,clear,5.74,6.0600000000000005,0.36,16.997899999999998,4.0,26.0,30.0
spring,0.0,1.0,20.0,False,6.0,False,clear,4.92,6.0600000000000005,0.36,16.997899999999998,0.0,28.0,28.0
spring,0.0,1.0,21.0,False,6.0,False,clear,4.92,5.305,0.39,23.9994,2.0,35.0,37.0
spring,0.0,1.0,22.0,False,6.0,False,clear,4.92,5.305,0.36,26.0027,1.0,33.0,34.0
spring,0.0,1.0,23.0,False,6.0,False,clear,4.1000000000000005,3.0300000000000002,0.39,30.002599999999997,0.0,22.0,22.0
spring,0.0,1.0,0.0,False,0.0,False,clear,4.1000000000000005,3.7900000000000005,0.42,26.0027,1.0,24.0,25.0
spring,0.0,1.0,1.0,False,0.0,False,clear,4.1000000000000005,3.0300000000000002,0.42,31.0009,0.0,12.0,12.0
spring,0.0,1.0,2.0,False,0.0,False,clear,4.1000000000000005,3.0300000000000002,0.46,31.0009,0.0,11.0,11.0
spring,0.0,1.0,3.0,False,0.0,False,clear,4.1000000000000005,3.7900000000000005,0.46,27.999299999999998,0.0,4.0,4.0
spring,0.0,1.0,4.0,False,0.0,False,clear,3.2800000000000002,4.545,0.53,12.998,0.0,1.0,1.0
spring,0.0,1.0,5.0,False,0.0,False,clear,3.2800000000000002,4.545,0.53,12.998,0.0,1.0,1.0
spring,0.0,1.0,6.0,False,0.0,False,clear,4.1000000000000005,4.545,0.49,19.0012,0.0,1.0,1.0
spring,0.0,1.0,7.0,False,0.0,False,clear,3.2800000000000002,4.545,0.53,12.998,1.0,5.0,6.0
spring,0.0,1.0,8.0,False,0.0,False,clear,4.1000000000000005,4.545,0.49,19.0012,0.0,10.0,10.0
spring,0.0,1.0,9.0,False,0.0,False,clear,4.92,3.7900000000000005,0.46,35.0008,0.0,19.0,19.0
spring,0.0,1.0,10.0,False,0.0,False,clear,5.74,5.305,0.43,26.0027,0.0,49.0,49.0
spring,0.0,1.0,11.0,False,0.0,False,clear,6.5600000000000005,6.0600000000000005,0.4,35.0008,2.0,47.0,49.0
spring,0.0,1.0,12.0,False,0.0,False,clear,7.38,6.819999999999999,0.37,30.002599999999997,4.0,79.0,83.0
spring,0.0,1.0,13.0,False,0.0,False,clear,8.200000000000001,8.334999999999999,0.34,30.002599999999997,6.0,69.0,75.0
spring,0.0,1.0,14.0,False,0.0,False,clear,9.02,9.09,0.32,31.0009,8.0,64.0,72.0
spring,0.0,1.0,15.0,False,0.0,False,clear,9.02,9.85,0.35,23.9994,5.0,77.0,82.0
spring,0.0,1.0,16.0,False,0.0,False,clear,8.200000000000001,8.334999999999999,0.34,30.002599999999997,13.0,79.0,92.0
spring,0.0,1.0,17.0,False,0.0,False,clear,7.38,7.575,0.37,26.0027,3.0,59.0,62.0
spring,0.0,1.0,18.0,False,0.0,False,clear,6.5600000000000005,6.819999999999999,0.4,22.0028,4.0,44.0,48.0
spring,0.0,1.0,19.0,False,0.0,False,clear,6.5600000000000005,6.819999999999999,0.43,22.0028,1.0,40.0,41.0
spring,0.0,1.0,20.0,False,0.0,False,clear,5.74,6.0600000000000005,0.46,16.997899999999998,0.0,38.0,38.0
spring,0.0,1.0,21.0,False,0.0,False,clear,5.74,5.305,0.46,27.999299999999998,1.0,19.0,20.0
spring,0.0,1.0,22.0,False,0.0,False,clear,5.74,6.0600000000000005,0.46,19.999499999999998,5.0,10.0,15.0
spring,0.0,1.0,23.0,False,0.0,False,clear,4.92,6.819999999999999,0.5,12.998,0.0,6.0,6.0
spring,0.0,1.0,0.0,False,1.0,True,clear,4.92,6.0600000000000005,0.5,19.0012,2.0,3.0,5.0
spring,0.0,1.0,1.0,False,1.0,True,clear,4.92,6.0600000000000005,0.5,19.0012,1.0,0.0,1.0
spring,0.0,1.0,2.0,False,1.0,True,clear,4.92,6.0600000000000005,0.5,15.001299999999999,0.0,3.0,3.0
spring,0.0,1.0,3.0,False,1.0,True,clear,4.92,6.0600000000000005,0.5,15.001299999999999,0.0,1.0,1.0
spring,0.0,1.0,4.0,False,1.0,True,clear,4.1000000000000005,6.0600000000000005,0.54,8.9981,1.0,2.0,3.0
spring,0.0,1.0,5.0,False,1.0,True,clear,4.1000000000000005,5.305,0.54,16.997899999999998,0.0,3.0,3.0
spring,0.0,1.0,6.0,False,1.0,True,clear,4.92,6.0600000000000005,0.5,19.0012,0.0,31.0,31.0
spring,0.0,1.0,7.0,False,1.0,True,clear,4.92,6.0600000000000005,0.5,15.001299999999999,2.0,75.0,77.0
spring,0.0,1.0,8.0,False,1.0,True,misty,4.92,6.0600000000000005,0.5,19.0012,4.0,184.0,188.0
spring,0.0,1.0,9.0,False,1.0,True,misty,5.74,6.0600000000000005,0.5,16.997899999999998,2.0,92.0,94.0
spring,0.0,1.0,10.0,False,1.0,True,misty,5.74,6.0600000000000005,0.5,19.999499999999998,0.0,31.0,31.0
spring,0.0,1.0,11.0,False,1.0,True,misty,6.5600000000000005,6.819999999999999,0.47,19.0012,2.0,28.0,30.0
spring,0.0,1.0,12.0,False,1.0,True,misty,8.200000000000001,9.09,0.4,19.0012,5.0,47.0,52.0
spring,0.0,1.0,13.0,False,1.0,True,misty,8.200000000000001,9.09,0.4,19.0012,4.0,50.0,54.0
spring,0.0,1.0,14.0,False,1.0,True,misty,8.200000000000001,9.85,0.4,15.001299999999999,0.0,47.0,47.0
spring,0.0,1.0,15.0,False,1.0,True,misty,8.200000000000001,9.85,0.4,15.001299999999999,2.0,43.0,45.0
spring,0.0,1.0,16.0,False,1.0,True,clear,8.200000000000001,10.605,0.4,8.9981,4.0,70.0,74.0
spring,0.0,1.0,17.0,False,1.0,True,clear,8.200000000000001,11.365,0.4,7.0015,4.0,174.0,178.0
spring,0.0,1.0,18.0,False,1.0,True,clear,8.200000000000001,9.85,0.4,15.001299999999999,1.0,154.0,155.0
spring,0.0,1.0,19.0,False,1.0,True,clear,6.5600000000000005,8.334999999999999,0.47,11.0014,3.0,92.0,95.0
spring,0.0,1.0,20.0,False,1.0,True,clear,6.5600000000000005,8.334999999999999,0.5,11.0014,1.0,73.0,74.0
spring,0.0,1.0,21.0,False,1.0,True,clear,5.74,6.819999999999999,0.59,12.998,1.0,37.0,38.0
spring,0.0,1.0,22.0,False,1.0,True,clear,5.74,7.575,0.59,11.0014,2.0,22.0,24.0
spring,0.0,1.0,23.0,False,1.0,True,clear,5.74,7.575,0.59,11.0014,0.0,18.0,18.0
spring,0.0,1.0,0.0,False,2.0,True,clear,5.74,8.334999999999999,0.59,7.0015,2.0,10.0,12.0
spring,0.0,1.0,1.0,False,2.0,True,clear,5.74,7.575,0.59,11.0014,0.0,3.0,3.0
